Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
22/01/2018 00:00;22/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.1166666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
23/01/2018 00:00;23/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.1791666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
23/01/2018 00:00;23/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.25;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
24/01/2018 00:00;24/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;25.0;24.775;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
24/01/2018 00:00;24/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.6583333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
25/01/2018 00:00;25/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.7833333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
25/01/2018 00:00;25/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.7458333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
26/01/2018 00:00;26/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;6.0;6.4708333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
26/01/2018 00:00;26/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.1333333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
27/01/2018 00:00;27/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.9;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
27/01/2018 00:00;27/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;21.2083333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
28/01/2018 00:00;28/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.4833333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
28/01/2018 00:00;28/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;23.0;22.775;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
29/01/2018 00:00;29/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;18.0041666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
29/01/2018 00:00;29/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.6458333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
30/01/2018 00:00;30/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.4875;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
30/01/2018 00:00;30/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;16.0;16.4;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
31/01/2018 00:00;31/01/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;16.5041666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
31/01/2018 00:00;31/01/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;15.1958333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
01/02/2018 00:00;01/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;8.8916666667;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
01/02/2018 00:00;01/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.3583333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
02/02/2018 00:00;02/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.6;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
02/02/2018 00:00;02/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;17.575;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
03/02/2018 00:00;03/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.0583333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
03/02/2018 00:00;03/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.475;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
04/02/2018 00:00;04/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;24.0;23.525;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
04/02/2018 00:00;04/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.1291666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
05/02/2018 00:00;05/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.2875;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
05/02/2018 00:00;05/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.2083333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
06/02/2018 00:00;06/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;30.0;29.5625;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
06/02/2018 00:00;06/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;22.0;22.3666666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
07/02/2018 00:00;07/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;20.0;20.0875;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
07/02/2018 00:00;07/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;24.0;23.5875;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
08/02/2018 00:00;08/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;31.0;30.7541666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
08/02/2018 00:00;08/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;31.0;31.1875;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
09/02/2018 00:00;09/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;37.0;37.4875;µg-m3;100.0;100;100.0;R;1;45.757732;4.854214
09/02/2018 00:00;09/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;25.0;25.0208333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
10/02/2018 00:00;10/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.4166666667;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
10/02/2018 00:00;10/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.2166666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
11/02/2018 00:00;11/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;16.9333333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
11/02/2018 00:00;11/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.2416666667;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
12/02/2018 00:00;12/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.1458333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
12/02/2018 00:00;12/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;18.5875;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
13/02/2018 00:00;13/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;18.3708333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
13/02/2018 00:00;13/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;15.025;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
14/02/2018 00:00;14/02/2018 23:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;23.0;23.0708333333;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
14/02/2018 00:00;14/02/2018 23:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.5958333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
